CGSS2023编码表,,,,,,,
序号,调查方式,问卷题号,问卷题目,变量名,变量标签,取值标签,值标签
1,入户调查/电话调查,无,无,id,问卷编号,,
2,入户调查/电话调查,无/A38a,您目前居住在哪个省或自治区或直辖市？,s41,采访地点-省/自治区/直辖市编码,s41lab,"编码与CGSS2010-2015编码一致。
新加的行政区划，在原有取值标签基础上继续添加新的取值和值标签。
点击查看取值标签s41lab。"
3,入户调查,无,无,s42,采访地点-地级市编码,s42lab,
4,入户调查,无,无,s43,采访地点-县/区编码,s43lab,
5,入户调查,无,无,s44,采访地点-乡/镇/街道编码,s44lab,
6,入户调查,无,无,s45,采访地点-居委会/村委会编码,s45lab,
7,入户调查,无,无,isurban,居委会/村委会,isurbanlab,"-5 电话调查未调查
1 居委会
2 村委会"
8,入户调查/电话调查,A00/无,请记录当前时间,a00,访问开始时间,,
9,入户调查/电话调查,A1,请问除您以外，您家里还有几个人？（注意！不要包括已经和您分家的成员）,a1,除您以外，家里还有几人（不包括已和您分家的成员）,a1lab,-3 拒绝回答
10,电话调查,无/A1a,您家目前住在一起的通常有几个人？ 您家目前住在一起的通常有几个人？ 注意，这里 注意，这里 包括您本人在内，同住的亲戚或保姆 包括您本人在内，同住的亲戚或保姆也算在内,a1a,您家目前住在一起的有几人（包括本人，同住的亲戚或保姆）,a1alab,"-4 入户面访未调查
-3 拒绝回答"
11,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01102,第2个家庭成员的称呼,,
12,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01103,第3个家庭成员的称呼,,
13,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01104,第4个家庭成员的称呼,,
14,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01105,第5个家庭成员的称呼,,
15,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01106,第6个家庭成员的称呼,,
16,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01107,第7个家庭成员的称呼,,
17,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01108,第8个家庭成员的称呼,,
18,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01109,第9个家庭成员的称呼,,
19,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01110,第10个家庭成员的称呼,,
20,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01111,第11个家庭成员的称呼,,
21,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01112,第12个家庭成员的称呼,,
22,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01113,第13个家庭成员的称呼,,
23,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01114,第14个家庭成员的称呼,,
24,入户调查,A0101,家庭成员称呼（与被访者的关系）,a01115,第15个家庭成员的称呼,,
